text,label,language,label_name,text_len,word_count
அதிசயம்: a retired teacher ஒரே 7 நாளில் 5 கிலோ குறைத்தனர்! மருத்துவர்கள் வெறுக்கும் இந்த ஒரு இரகசிய உத்தி! a major politician தினமும் இதை பயன்படுத்துகிறார்! இன்றே ஆர்டர் செய்யுங்கள்!,1,ta,FAKE,182,25
India அரசு healthcare துறைக்கு ₹50 கோடி நிதி ஒதுக்கியது. parliament மதிப்பாய்வு செய்த திட்டம் 2026-ல் achieve net-zero நோக்கமாக கொண்டுள்ளது. எதிர்க்கட்சிகள் கலவையான கருத்துக்களை தெரிவித்தன.,0,ta,REAL,189,21
EXCLUSIVE: Scientists DISCOVER that coconut oil CURES malaria in just 7 days! Big Pharma DOESN'T want you to know! 12 doctors SILENCED for revealing this! WAKE UP! The New World Order is REAL!,1,en,FAKE,192,33
கசிந்த ஆவணம்: WHO 2025-ல் microchip citizens திட்டமிடுகிறது! உள்நாட்டு தகவலாளர்கள் உயிருக்கு பயந்து ஓடுகின்றனர்! மக்களுக்கு gun rights ஆபத்தில் உள்ளது! SHARE செய்யுங்கள்!,1,ta,FAKE,170,19
"The UN announced today that new trade agreement will take effect from December 1. Officials confirmed the decision after 14 days of deliberation. The measure is expected to reduce inflation, according to ministry spokesperson.",0,en,REAL,226,34
அதிர்ச்சி செய்தி: a major politician இரகசியமாக betrays nation! அரசு water supply பற்றிய உண்மையை மறைக்கிறது! DELETE ஆவதற்கு முன் SHARE செய்யுங்கள்! AFP இந்த அதிர்ச்சிகரமான உண்மையை உறுதிப்படுத்துகிறது!,1,ta,FAKE,199,24
"அதிசயம்: a local farmer ஒரே 30 நாளில் 1,000 கிலோ குறைத்தனர்! மருத்துவர்கள் வெறுக்கும் இந்த ஒரு இரகசிய உத்தி! a famous actor தினமும் இதை பயன்படுத்துகிறார்! இன்றே ஆர்டர் செய்யுங்கள்!",1,ta,FAKE,180,25
"EXCLUSIVE: Scientists DISCOVER that garlic CURES cholera in just 7 days! Big Pharma DOESN'T want you to know! 2,300 doctors SILENCED for revealing this! WAKE UP! The deep state plot is REAL!",1,en,FAKE,190,32
"The SEBI announced today that new trade agreement will take effect from June 30. Officials confirmed the decision after 60 days of deliberation. The measure is expected to reduce inflation, according to AFP.",0,en,REAL,207,33
"Kolkata reported 2,300 new cases of malaria on Friday. Health authorities have deployed medical teams to manage the situation. Officials urge residents to stay home.",0,en,REAL,165,25
கசிந்த ஆவணம்: WEF 2035-ல் censor internet திட்டமிடுகிறது! உள்நாட்டு தகவலாளர்கள் உயிருக்கு பயந்து ஓடுகின்றனர்! மக்களுக்கு freedom of speech ஆபத்தில் உள்ளது! SHARE செய்யுங்கள்!,1,ta,FAKE,174,20
EXCLUSIVE: Scientists DISCOVER that coconut oil CURES malaria in just 21 days! Big Pharma DOESN'T want you to know! 10 million doctors SILENCED for revealing this! WAKE UP! The deep state plot is REAL!,1,en,FAKE,201,34
கசிந்த ஆவணம்: government 2025-ல் microchip citizens திட்டமிடுகிறது! உள்நாட்டு தகவலாளர்கள் உயிருக்கு பயந்து ஓடுகின்றனர்! மக்களுக்கு freedom of speech ஆபத்தில் உள்ளது! SHARE செய்யுங்கள்!,1,ta,FAKE,184,20
"The UNESCO announced today that climate policy will take effect from January 1. Officials confirmed the decision after 14 days of deliberation. The measure is expected to reduce inflation, according to ministry spokesperson.",0,en,REAL,224,33
MIRACLE: a local farmer LOSES 50 kg in 21 days using ONE weird trick doctors HATE! Experts BAFFLED! a tech billionaire uses this SECRET daily! ORDER before December 1 — LIMITED SUPPLY!,1,en,FAKE,184,32
"The France government approved a $200 billion budget for defence. The plan, reviewed by cabinet, aims to achieve net-zero by 2026. Opposition parties offered mixed responses.",0,en,REAL,174,26
"The IMF announced today that vaccine mandate will take effect from December 1. Officials confirmed the decision after 90 days of deliberation. The measure is expected to boost employment, according to Reuters.",0,en,REAL,209,32
Stanford-இல் உள்ள ஆராய்ச்சியாளர்கள் Science இதழில் ஆய்வு முடிவுகளை வெளியிட்டனர். 10 ஆண்டுகள் 500 பங்கேற்பாளர்களுடன் நடத்தப்பட்ட இந்த ஆய்வு reduced risk by 40% என்று கண்டறிந்தது. சகாக்கள் ஆய்வு முறையை பாராட்டினர்.,0,ta,REAL,212,25
BREAKING: a tech billionaire SECRETLY betrays nation! Government HIDING the TRUTH about vaccines! SHARE before they DELETE this! PTI confirms SHOCKING revelation that mainstream media REFUSES to cover. This changes EVERYTHING!,1,en,FAKE,226,31
அம்பலம்: a senior minister கேமராவில் accepting bribe பிடிக்கப்பட்டனர்! 100 லட்சம் மக்கள் நீதி கோருகின்றனர்! India immigrants காரணமாக நலிவடைகிறது! உடனே பகிருங்கள்!,1,ta,FAKE,162,19
"அதிசயம்: a retired teacher ஒரே 7 நாளில் 1,000 கிலோ குறைத்தனர்! மருத்துவர்கள் வெறுக்கும் இந்த ஒரு இரகசிய உத்தி! a major politician தினமும் இதை பயன்படுத்துகிறார்! இன்றே ஆர்டர் செய்யுங்கள்!",1,ta,FAKE,186,25
"அதிசயம்: a local farmer ஒரே 7 நாளில் 1,000 கிலோ குறைத்தனர்! மருத்துவர்கள் வெறுக்கும் இந்த ஒரு இரகசிய உத்தி! a major politician தினமும் இதை பயன்படுத்துகிறார்! இன்றே ஆர்டர் செய்யுங்கள்!",1,ta,FAKE,183,25
"Researchers at BITS Pilani published findings in Science showing that doubled lifespan. The study, conducted over 2 years with 10,000 participants, concludes that lifestyle changes matter. Peer reviewers praised the methodology.",0,en,REAL,228,31
HDFC நிறுவனம் mixed காலாண்டு வருவாய் அறிவித்ததால் Friday அன்று சந்தை dipped. Citi பகுப்பாய்வாளர்கள் 2025 கணிப்பை 9.0% ஆக திருத்தினர்.,0,ta,REAL,133,17
அதிர்ச்சி செய்தி: a tech billionaire இரகசியமாக meets foreign spy! அரசு 5G towers பற்றிய உண்மையை மறைக்கிறது! DELETE ஆவதற்கு முன் SHARE செய்யுங்கள்! senior official இந்த அதிர்ச்சிகரமான உண்மையை உறுதிப்படுத்துகிறது!,1,ta,FAKE,211,26
"MIT-இல் உள்ள ஆராய்ச்சியாளர்கள் NEJM இதழில் ஆய்வு முடிவுகளை வெளியிட்டனர். 5 ஆண்டுகள் 1,200 பங்கேற்பாளர்களுடன் நடத்தப்பட்ட இந்த ஆய்வு reduced risk by 40% என்று கண்டறிந்தது. சகாக்கள் ஆய்வு முறையை பாராட்டினர்.",0,ta,REAL,205,25
MIRACLE: a retired teacher LOSES 12 kg in 7 days using ONE weird trick doctors HATE! Experts BAFFLED! a famous actor uses this SECRET daily! ORDER before March 15 — LIMITED SUPPLY!,1,en,FAKE,180,32
"இரகசியம் வெளியாயிற்று: lemon water 14 நாளில் influenza-ஐ குணப்படுத்துகிறது! பெரிய நிறுவனங்கள் இதை மறைக்கின்றன! 500,000 மருத்துவர்கள் இதை வெளியிட்டதால் நிறுத்தப்பட்டனர்! விழிப்புணர்வு பெறுங்கள்! deep state plot உண்மையானது!",1,ta,FAKE,221,23
"Researchers at NUS published findings in Cell showing that improved accuracy. The study, conducted over 2 years with 1,200 participants, concludes that diet is key. Peer reviewers praised the methodology.",0,en,REAL,204,30
BREAKING: a famous actor SECRETLY meets foreign spy! Government HIDING the TRUTH about vaccines! SHARE before they DELETE this! Reuters confirms SHOCKING revelation that mainstream media REFUSES to cover. This changes EVERYTHING!,1,en,FAKE,229,32
"Researchers at IIT Madras published findings in Cell showing that improved accuracy. The study, conducted over 2 years with 1,200 participants, concludes that lifestyle changes matter. Peer reviewers praised the methodology.",0,en,REAL,224,31
EXCLUSIVE: Scientists DISCOVER that neem CURES cholera in just 14 days! Big Pharma DOESN'T want you to know! 45 doctors SILENCED for revealing this! WAKE UP! The Big Pharma cover-up is REAL!,1,en,FAKE,190,32
அதிர்ச்சி செய்தி: a major politician இரகசியமாக funds terror groups! அரசு vaccines பற்றிய உண்மையை மறைக்கிறது! DELETE ஆவதற்கு முன் SHARE செய்யுங்கள்! senior official இந்த அதிர்ச்சிகரமான உண்மையை உறுதிப்படுத்துகிறது!,1,ta,FAKE,212,25
அதிர்ச்சி செய்தி: a famous actor இரகசியமாக meets foreign spy! அரசு climate பற்றிய உண்மையை மறைக்கிறது! DELETE ஆவதற்கு முன் SHARE செய்யுங்கள்! ministry spokesperson இந்த அதிர்ச்சிகரமான உண்மையை உறுதிப்படுத்துகிறது!,1,ta,FAKE,211,25
"The France government approved a $50 billion budget for education. The plan, reviewed by expert panel, aims to eradicate poverty by 2026. Opposition parties offered mixed responses.",0,en,REAL,181,27
"Stock markets rose on Monday as Reliance reported mixed quarterly earnings. Analysts at Goldman Sachs revised their 2025 forecast to 9.0%, citing strong demand.",0,en,REAL,160,24
"இரகசியம் வெளியாயிற்று: lemon water 14 நாளில் malaria-ஐ குணப்படுத்துகிறது! பெரிய நிறுவனங்கள் இதை மறைக்கின்றன! 500,000 மருத்துவர்கள் இதை வெளியிட்டதால் நிறுத்தப்பட்டனர்! விழிப்புணர்வு பெறுங்கள்! Big Pharma cover-up உண்மையானது!",1,ta,FAKE,223,23
கசிந்த ஆவணம்: WHO 2035-ல் censor internet திட்டமிடுகிறது! உள்நாட்டு தகவலாளர்கள் உயிருக்கு பயந்து ஓடுகின்றனர்! மக்களுக்கு property ஆபத்தில் உள்ளது! SHARE செய்யுங்கள்!,1,ta,FAKE,165,18
LEAKED: classified file REVEALS that UN plans to censor internet by 2035! Insiders FLEE for their lives! 100% of population at RISK! They are COMING for your freedom of speech! RESIST now!,1,en,FAKE,188,32
"Mumbai reported 2,300 new cases of dengue on Wednesday. Health authorities have deployed mobile units to manage the situation. Officials urge residents to wear masks.",0,en,REAL,166,25
MIRACLE: a local farmer LOSES 5 kg in 90 days using ONE weird trick doctors HATE! Experts BAFFLED! a tech billionaire uses this SECRET daily! ORDER before June 30 — LIMITED SUPPLY!,1,en,FAKE,180,32
TCS நிறுவனம் record காலாண்டு வருவாய் அறிவித்ததால் Tuesday அன்று சந்தை rallied. ICICI பகுப்பாய்வாளர்கள் 2030 கணிப்பை 9.0% ஆக திருத்தினர்.,0,ta,REAL,136,17
Mumbai reported 10 million new cases of malaria on Thursday. Health authorities have deployed testing kits to manage the situation. Officials urge residents to wear masks.,0,en,REAL,171,26
BREAKING: a famous actor SECRETLY funds terror groups! Government HIDING the TRUTH about 5G towers! SHARE before they DELETE this! AFP confirms SHOCKING revelation that mainstream media REFUSES to cover. This changes EVERYTHING!,1,en,FAKE,228,33
"Researchers at IIT Madras published findings in Lancet showing that reduced risk by 40%. The study, conducted over 10 years with 10,000 participants, concludes that early screening saves lives. Peer reviewers praised the methodology.",0,en,REAL,233,34
இரகசியம் வெளியாயிற்று: coconut oil 21 நாளில் malaria-ஐ குணப்படுத்துகிறது! பெரிய நிறுவனங்கள் இதை மறைக்கின்றன! 100 மருத்துவர்கள் இதை வெளியிட்டதால் நிறுத்தப்பட்டனர்! விழிப்புணர்வு பெறுங்கள்! Big Pharma cover-up உண்மையானது!,1,ta,FAKE,219,23
"The Germany government approved a $5 billion budget for education. The plan, reviewed by finance ministry, aims to boost GDP by 7% by 2025. Opposition parties offered mixed responses.",0,en,REAL,183,29
"இரகசியம் வெளியாயிற்று: neem 7 நாளில் COVID-19-ஐ குணப்படுத்துகிறது! பெரிய நிறுவனங்கள் இதை மறைக்கின்றன! 500,000 மருத்துவர்கள் இதை வெளியிட்டதால் நிறுத்தப்பட்டனர்! விழிப்புணர்வு பெறுங்கள்! Big Pharma cover-up உண்மையானது!",1,ta,FAKE,216,22
EXCLUSIVE: Scientists DISCOVER that turmeric CURES influenza in just 21 days! Big Pharma DOESN'T want you to know! 45 doctors SILENCED for revealing this! WAKE UP! The Big Pharma cover-up is REAL!,1,en,FAKE,196,32
"MIT-இல் உள்ள ஆராய்ச்சியாளர்கள் Cell இதழில் ஆய்வு முடிவுகளை வெளியிட்டனர். 3 ஆண்டுகள் 5,000 பங்கேற்பாளர்களுடன் நடத்தப்பட்ட இந்த ஆய்வு improved accuracy என்று கண்டறிந்தது. சகாக்கள் ஆய்வு முறையை பாராட்டினர்.",0,ta,REAL,203,23
"IMF நிறுவனம் இன்று அறிவித்தது: new trade agreement April 5 முதல் நடைமுறைக்கு வரும். 14 நாள் ஆலோசனைக்குப் பிறகு அதிகாரிகள் இந்த முடிவை உறுதிப்படுத்தினர். AFP தெரிவிக்கும் வகையில், இந்த நடவடிக்கை reduce inflation என்று எதிர்பார்க்கப்படுகிறது.",0,ta,REAL,240,29
ALERT: a senior minister caught accepting bribe on camera — VIDEO PROOF! Deep state PANICKING! Over 10 million million patriots DEMAND justice! Germany is FALLING because of globalists! RT if you AGREE! Share EVERYWHERE!,1,en,FAKE,220,34
"UN நிறுவனம் இன்று அறிவித்தது: new trade agreement January 1 முதல் நடைமுறைக்கு வரும். 30 நாள் ஆலோசனைக்குப் பிறகு அதிகாரிகள் இந்த முடிவை உறுதிப்படுத்தினர். ministry spokesperson தெரிவிக்கும் வகையில், இந்த நடவடிக்கை improve healthcare என்று எதிர்பார்க்கப்படுகிறது.",0,ta,REAL,261,30
கசிந்த ஆவணம்: government 2035-ல் control food supply திட்டமிடுகிறது! உள்நாட்டு தகவலாளர்கள் உயிருக்கு பயந்து ஓடுகின்றனர்! மக்களுக்கு privacy ஆபத்தில் உள்ளது! SHARE செய்யுங்கள்!,1,ta,FAKE,175,19
"Researchers at Oxford published findings in Cell showing that doubled lifespan. The study, conducted over 10 years with 5,000 participants, concludes that diet is key. Peer reviewers praised the methodology.",0,en,REAL,207,30
"ALERT: a senior minister caught hiding documents on camera — VIDEO PROOF! Deep state PANICKING! Over 2,300 million patriots DEMAND justice! Germany is FALLING because of elites! RT if you AGREE! Share EVERYWHERE!",1,en,FAKE,212,33
MIRACLE: a retired teacher LOSES 5 kg in 7 days using ONE weird trick doctors HATE! Experts BAFFLED! a major politician uses this SECRET daily! ORDER before March 15 — LIMITED SUPPLY!,1,en,FAKE,183,32
ALERT: a senior minister caught accepting bribe on camera — VIDEO PROOF! Deep state PANICKING! Over 100 million patriots DEMAND justice! Japan is FALLING because of immigrants! RT if you AGREE! Share EVERYWHERE!,1,en,FAKE,211,33
அதிசயம்: a local farmer ஒரே 90 நாளில் 200 கிலோ குறைத்தனர்! மருத்துவர்கள் வெறுக்கும் இந்த ஒரு இரகசிய உத்தி! a major politician தினமும் இதை பயன்படுத்துகிறார்! இன்றே ஆர்டர் செய்யுங்கள்!,1,ta,FAKE,182,25
ALERT: the opposition leader caught accepting bribe on camera — VIDEO PROOF! Deep state PANICKING! Over 45 million patriots DEMAND justice! USA is FALLING because of elites! RT if you AGREE! Share EVERYWHERE!,1,en,FAKE,208,33
"Stock markets plunged on Monday as Tesla reported strong quarterly earnings. Analysts at Goldman Sachs revised their 2025 forecast to 4.2%, citing supply chain issues.",0,en,REAL,167,25
"Stock markets surged on Monday as TCS reported strong quarterly earnings. Analysts at Morgan Stanley revised their 2026 forecast to 8.1%, citing innovation.",0,en,REAL,156,23
"UNESCO நிறுவனம் இன்று அறிவித்தது: climate policy April 5 முதல் நடைமுறைக்கு வரும். 14 நாள் ஆலோசனைக்குப் பிறகு அதிகாரிகள் இந்த முடிவை உறுதிப்படுத்தினர். Reuters தெரிவிக்கும் வகையில், இந்த நடவடிக்கை reduce inflation என்று எதிர்பார்க்கப்படுகிறது.",0,ta,REAL,242,28
Bengaluru-ல் Wednesday அன்று 12 புதிய COVID-19 வழக்குகள் பதிவாயின. சுகாதார அதிகாரிகள் நிலைமையை சமாளிக்க mobile units நிறுத்தினர். குடிமக்கள் get vaccinated என்று அறிவுறுத்தப்படுகின்றனர்.,0,ta,REAL,186,20
"Stock markets fell on Tuesday as HDFC reported record quarterly earnings. Analysts at ICICI revised their 2035 forecast to 4.2%, citing strong demand.",0,en,REAL,150,23
Mumbai-ல் Wednesday அன்று 12 புதிய COVID-19 வழக்குகள் பதிவாயின. சுகாதார அதிகாரிகள் நிலைமையை சமாளிக்க medical teams நிறுத்தினர். குடிமக்கள் stay home என்று அறிவுறுத்தப்படுகின்றனர்.,0,ta,REAL,179,20
"The UNESCO announced today that climate policy will take effect from January 1. Officials confirmed the decision after 14 days of deliberation. The measure is expected to cut emissions, according to senior official.",0,en,REAL,215,33
"The Germany government approved a $200 billion budget for education. The plan, reviewed by finance ministry, aims to achieve net-zero by 2026. Opposition parties offered mixed responses.",0,en,REAL,186,27
"Stock markets fell on Wednesday as Infosys reported disappointing quarterly earnings. Analysts at ICICI revised their 2025 forecast to 8.1%, citing strong demand.",0,en,REAL,162,23
அம்பலம்: a senior minister கேமராவில் accepting bribe பிடிக்கப்பட்டனர்! 10 million லட்சம் மக்கள் நீதி கோருகின்றனர்! India elites காரணமாக நலிவடைகிறது! உடனே பகிருங்கள்!,1,ta,FAKE,165,20
அதிர்ச்சி செய்தி: a tech billionaire இரகசியமாக betrays nation! அரசு climate பற்றிய உண்மையை மறைக்கிறது! DELETE ஆவதற்கு முன் SHARE செய்யுங்கள்! Reuters இந்த அதிர்ச்சிகரமான உண்மையை உறுதிப்படுத்துகிறது!,1,ta,FAKE,198,23
அதிசயம்: a retired teacher ஒரே 7 நாளில் 50 கிலோ குறைத்தனர்! மருத்துவர்கள் வெறுக்கும் இந்த ஒரு இரகசிய உத்தி! a famous actor தினமும் இதை பயன்படுத்துகிறார்! இன்றே ஆர்டர் செய்யுங்கள்!,1,ta,FAKE,179,25
"ALERT: a governor caught lying under oath on camera — VIDEO PROOF! Deep state PANICKING! Over 2,300 million patriots DEMAND justice! Germany is FALLING because of foreign agents! RT if you AGREE! Share EVERYWHERE!",1,en,FAKE,213,34
கசிந்த ஆவணம்: UN 2026-ல் microchip citizens திட்டமிடுகிறது! உள்நாட்டு தகவலாளர்கள் உயிருக்கு பயந்து ஓடுகின்றனர்! மக்களுக்கு freedom of speech ஆபத்தில் உள்ளது! SHARE செய்யுங்கள்!,1,ta,FAKE,176,20
BREAKING: a famous actor SECRETLY funds terror groups! Government HIDING the TRUTH about vaccines! SHARE before they DELETE this! ministry spokesperson confirms SHOCKING revelation that mainstream media REFUSES to cover. This changes EVERYTHING!,1,en,FAKE,245,33
MIRACLE: a local farmer LOSES 5 kg in 30 days using ONE weird trick doctors HATE! Experts BAFFLED! a famous actor uses this SECRET daily! ORDER before December 1 — LIMITED SUPPLY!,1,en,FAKE,179,32
அதிசயம்: a local farmer ஒரே 60 நாளில் 5 கிலோ குறைத்தனர்! மருத்துவர்கள் வெறுக்கும் இந்த ஒரு இரகசிய உத்தி! a tech billionaire தினமும் இதை பயன்படுத்துகிறார்! இன்றே ஆர்டர் செய்யுங்கள்!,1,ta,FAKE,180,25
Delhi reported 45 new cases of influenza on Monday. Health authorities have deployed vaccines to manage the situation. Officials urge residents to stay home.,0,en,REAL,157,24
